publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
3469104,earthquake,2011-02-22T22:59:24.582Z,2013-08-14T15:59:00.000Z,172.62117000000000644,-43.58677000000000135,3.14000000000000012,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,13,7,5,0.01100000000000000,94.00000000000000000,0.23419000000000001,0.28499999999999998
3469103,earthquake,2011-02-22T22:57:57.064Z,2013-08-14T15:59:00.000Z,172.62459999999998672,-43.57544000000000040,2.68299999999999983,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,5,6,0.00100000000000000,173.00000000000000000,0.17727000000000001,0.28899999999999998
3469099,earthquake,2011-02-22T22:45:03.144Z,2013-08-14T15:59:00.000Z,172.71404000000001133,-43.58014000000000010,2.72500000000000009,7.41300000000000026,ML,,GROPE,reviewed,manual,nz1dr,9,5,5,0.06600000000000000,221.00000000000000000,0.15623000000000001,0.31500000000000000
3469098,earthquake,2011-02-22T22:40:57.272Z,2013-08-14T15:59:00.000Z,172.63186999999999216,-43.58652000000000015,2.69700000000000006,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,5,5,0.01200000000000000,189.00000000000000000,0.26558999999999999,0.33100000000000002
3469097,earthquake,2011-02-22T22:39:07.825Z,2013-08-14T15:59:00.000Z,172.62975000000000136,-43.57636999999999716,2.67899999999999983,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,11,6,6,0.00500000000000000,190.00000000000000000,0.22972999999999999,0.30800000000000000
3469095,earthquake,2011-02-22T22:35:03.969Z,2013-08-14T15:59:00.000Z,176.34012999999998783,-38.16147999999999740,4.22400000000000020,155.14390000000000214,ML,,GROPE,reviewed,manual,nz1dr,76,75,49,0.05900000000000000,66.00000000000000000,0.24253000000000000,0.33700000000000002
3469093,earthquake,2011-02-22T22:27:00.294Z,2013-08-14T15:59:00.000Z,172.62645000000000550,-43.59226000000000312,2.75700000000000012,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,6,5,0.01600000000000000,174.00000000000000000,0.06519999999999999,0.15100000000000000
3469092,earthquake,2011-02-22T22:24:50.251Z,2013-08-14T15:59:00.000Z,172.65862000000001331,-43.57099999999999795,2.67200000000000015,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,5,5,0.02600000000000000,202.00000000000000000,0.20090000000000000,0.35699999999999998
3469091,earthquake,2011-02-22T22:22:48.137Z,2013-08-14T15:59:00.000Z,172.60928000000001248,-43.54596000000000089,2.71499999999999986,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,5,5,0.03200000000000000,180.00000000000000000,0.15434999999999999,0.33000000000000002
3469090,earthquake,2011-02-22T22:21:10.639Z,2013-08-14T15:59:00.000Z,172.59950000000000614,-43.49273000000000167,2.77000000000000002,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,5,9,0.08500000000000001,187.00000000000000000,0.20207000000000000,0.34599999999999997
3743000,earthquake,2011-02-22T22:16:40.961Z,2013-08-14T16:17:00.000Z,172.64306999999999448,-43.56394000000000233,2.70900000000000007,7.85829999999999984,ML,,GROPE,reviewed,manual,nz1dr,6,3,3,0.01900000000000000,239.00000000000000000,0.04980000000000000,0.29899999999999999
3742998,earthquake,2011-02-22T22:16:10.799Z,2013-08-14T16:17:00.000Z,172.69956999999999425,-43.55107999999999890,2.78699999999999992,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,8,4,3,0.05700000000000000,257.00000000000000000,0.09791000000000000,0.22900000000000001
3469088,earthquake,2011-02-22T22:15:37.587Z,2013-08-14T15:59:00.000Z,172.62623999999999569,-43.58718999999999966,3.69300000000000006,4.91579999999999995,ML,,GROPE,reviewed,manual,nz1dr,16,10,18,0.01100000000000000,88.00000000000000000,0.28571000000000002,0.28000000000000003
3469086,earthquake,2011-02-22T22:13:14.299Z,2013-08-14T15:58:00.000Z,172.61732000000000653,-43.59682000000000102,2.67300000000000004,5.15639999999999965,ML,,GROPE,reviewed,manual,nz1dr,11,6,4,0.02100000000000000,156.00000000000000000,0.13389999999999999,0.14899999999999999
3469084,earthquake,2011-02-22T22:02:01.598Z,2013-08-14T15:58:00.000Z,179.00899999999998613,-35.77528000000000219,3.38799999999999990,33.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,7,8,2.09699999999999998,342.00000000000000000,0.24146999999999999,0.13500000000000001
3469081,earthquake,2011-02-22T21:55:46.695Z,2013-08-14T15:58:00.000Z,172.61403000000001384,-43.59291000000000338,2.86100000000000021,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,11,6,8,0.01800000000000000,145.00000000000000000,0.08923000000000000,0.31700000000000000
3469080,earthquake,2011-02-22T21:52:27.321Z,2013-08-14T15:58:00.000Z,172.61583999999999151,-43.58399000000000001,2.64000000000000012,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,5,6,0.00900000000000000,134.00000000000000000,0.10265000000000001,0.33200000000000002
3469079,earthquake,2011-02-22T21:46:58.618Z,2013-08-14T15:58:00.000Z,172.59818000000001348,-43.57600000000000051,2.74500000000000011,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,11,6,4,0.01800000000000000,99.00000000000000000,0.10279000000000001,0.14999999999999999
3469072,earthquake,2011-02-22T21:27:16.798Z,2013-08-14T15:58:00.000Z,172.61938000000000670,-43.55747999999999820,2.63700000000000001,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,8,4,6,0.01900000000000000,189.00000000000000000,0.20829000000000000,0.32200000000000001
