first_name,last_name,birth_date,age,start_date,end_date
Henry,Sewell,1807-09-07,48,1856-05-07,1856-05-20
William,Fox,1812-09-02,44,1856-05-20,1873-04-08
Edward,Stafford,1819-04-23,37,1856-06-02,1872-10-11
Alfred,Domett,1811-05-20,51,1862-08-06,1863-10-30
Frederick,Whitaker,1812-04-23,51,1863-10-30,1883-09-25
Frederick,Weld,1823-05-09,41,1864-11-24,1865-10-16
George,Waterhouse,1824-04-06,48,1872-10-11,1873-03-03
Julius,Vogel,1835-02-24,38,1873-04-08,1876-09-01
Daniel,Pollen,1813-06-02,62,1875-07-06,1876-02-15
Harry,Atkinson,1831-11-01,44,1876-09-01,1891-01-24
George,Grey,1812-04-14,65,1877-10-13,1879-10-08
John,Hall,1824-12-18,54,1879-10-08,1882-04-21
Robert,Stout,1844-09-28,39,1884-08-16,1887-10-08
John,Ballance,1839-03-27,51,1891-01-24,1893-04-27
Richard,Seddon,1845-06-22,47,1893-04-27,1906-06-10
William,Hall-Jones,1851-01-16,55,1906-06-10,1906-08-06
Joseph,Ward,1856-04-26,50,1906-08-06,1930-05-28
Thomas,Mackenzie,1853-03-10,58,1912-03-28,1912-07-10
William,Massey,1856-03-26,56,1912-07-10,1925-05-10
Francis,Bell,1851-03-31,74,1925-05-10,1925-05-30
Gordon,Coates,1878-02-03,47,1925-05-30,1928-12-10
George,Forbes,1869-03-12,61,1930-05-28,1935-12-06
Michael Joseph,Savage,1872-03-23,63,1935-12-06,1940-03-27
Peter,Fraser,1884-08-28,55,1940-03-27,1949-12-13
Sidney,Holland,1893-10-18,56,1949-12-13,1957-09-20
Keith,Holyoake,1904-02-11,53,1957-09-20,1957-12-12
Walter,Nash,1882-02-12,75,1957-12-12,1960-12-12
Keith,Holyoake,1904-02-11,53,1960-12-12,1972-02-07
Jack,Marshall,1912-03-05,59,1972-02-07,1972-12-08
Norman,Kirk,1923-01-06,49,1972-12-08,1974-08-31
Bill,Rowling,1927-11-15,46,1974-09-06,1975-12-12
Robert,Muldoon,1921-09-25,54,1975-12-12,1984-07-26
David,Lange,1942-08-04,41,1984-07-26,1989-08-08
Geoffrey,Palmer,1942-04-21,47,1989-08-08,1990-09-04
Mike,Moore,1949-01-28,41,1990-09-04,1990-11-02
Jim,Bolger,1935-05-31,55,1990-11-02,1997-12-08
Jenny,Shipley,1952-02-04,45,1997-12-08,1999-12-05
Helen,Clark,1950-02-26,49,1999-12-05,2008-11-19
John,Key,1961-08-09,47,2008-11-19,2016-12-12
Bill,English,1961-12-30,54,2016-12-12,2017-10-26
Jacinda,Ardern,1980-07-26,37,2017-10-26,NA
