publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p858000,earthquake,2016-11-13T11:02:56.346Z,2016-11-16T05:30:24.963Z,173.0221405,-42.6925354,7.820379733,15.11445332,Mw(mB),,LOCSAT,confirmed,manual,iasp91,94,93,37,0.2205573916,54.98503113,1.822964596,0.4
2016p661332,earthquake,2016-09-01T16:37:55.440Z,2016-09-01T18:03:16.334Z,179.52001949999998942,-36.97947692999999703,7.07989947300000022,21.78820991999999990,M,,LOCSAT,confirmed,manual,iasp91,87,71,22,1.12930726999999997,288.57084659999998166,0.71531601730000005,0.00000000000000000
3366146,earthquake,2010-09-03T16:35:41.836Z,2013-07-16T14:04:00.000Z,172.16793999999998732,-43.52730999999999995,7.20000000000000018,11.04260000000000019,Mw,,GROPE,reviewed,manual,nz1dr,21,16,0,0.06000000000000000,82.00000000000000000,0.14312000000000000,0.00000000000000000
3124785,earthquake,2009-07-15T09:22:29.322Z,2013-06-24T17:04:00.000Z,166.58707000000001131,-45.77024999999999721,7.79999999999999982,12.00000000000000000,Mw,operator assigned,GROPE,reviewed,manual,nz1dr,19,17,0,0.40300000000000002,230.00000000000000000,0.15612999999999999,0.00000000000000000
2801125,earthquake,2007-09-30T05:23:34.070Z,2012-09-11T11:51:00.000Z,164.11501000000001227,-49.27100999999999686,7.29999999999999982,10.00000000000000000,Mw,operator assigned,GROPE,reviewed,manual,nz1dr,14,11,0,4.25900000000000034,335.00000000000000000,0.39512999999999998,0.00000000000000000
2326055,earthquake,2004-11-22T20:26:32.095Z,2010-01-13T22:53:00.000Z,165.31691000000000713,-46.60614000000000345,7.00000000000000000,12.00000000000000000,Mw,operator assigned,GROPE,reviewed,manual,nz1dr,22,16,0,1.56099999999999994,306.00000000000000000,0.20896000000000001,0.00000000000000000
2103645,earthquake,2003-08-21T12:12:49.867Z,2010-01-13T22:14:00.000Z,166.83004999999999995,-45.19286000000000314,7.09999999999999964,24.34519999999999840,Mw,,GROPE,reviewed,manual,nz1dr,12,10,0,0.45700000000000002,270.00000000000000000,0.19164000000000000,0.00000000000000000
1780673,earthquake,2001-08-21T06:51:57.708Z,2010-01-13T21:38:00.000Z,-178.47596999999998957,-36.48561999999999728,7.10700000000000021,33.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,32,30,19,3.49400000000000022,315.00000000000000000,0.23587000000000000,0.41399999999999998
731516,earthquake,1995-02-05T22:51:02.305Z,2010-01-13T19:16:00.000Z,179.48858999999998787,-37.64958000000000027,7.15000000000000036,12.00000000000000000,Mw,operator assigned,GROPE,reviewed,manual,nz1dr,51,49,0,0.94399999999999995,284.00000000000000000,0.16693000000000000,0.00000000000000000
1560337,earthquake,1979-10-12T10:25:22.100Z,2002-10-23T14:39:00.000Z,166.03000000000000114,-46.70000000000000284,7.29999999999999982,12.00000000000000000,Mw,operator assigned,LOCAL,reviewed,manual,nz1d,16,12,0,1.39399999999999991,187.00000000000000000,1.19999999999999996,0.00000000000000000
1550210,earthquake,1968-05-23T17:24:17.390Z,1996-09-18T00:00:00.000Z,172.03998999999998887,-41.75999999999999801,7.09999999999999964,12.00000000000000000,Mw,operator assigned,LOCAL,reviewed,manual,nz1d,7,7,0,0.84499999999999997,185.00000000000000000,0.59999999999999998,0.00000000000000000
1544823,earthquake,1953-09-29T01:36:51.400Z,2002-09-26T10:07:00.000Z,176.47999999999998977,-37.60000000000000142,7.20000000000000018,273.00000000000000000,ML,,LOCAL,reviewed,manual,nz1d,9,6,0,0.80900000000000005,218.00000000000000000,0.69999999999999996,0.00000000000000000
1542993,earthquake,1947-03-25T20:32:07.748Z,2002-12-11T16:15:00.000Z,178.80322000000001026,-38.84553999999999974,7.00000000000000000,12.00000000000000000,Mw,operator assigned,GROPE,reviewed,manual,nz1dr,6,5,0,1.29099999999999993,305.00000000000000000,0.53698999999999997,0.00000000000000000
1542684,earthquake,1945-09-01T22:44:08.120Z,1983-11-30T00:00:00.000Z,166.12000000000000455,-47.46999999999999886,7.40000000000000036,12.00000000000000000,Mw,operator assigned,LOCAL,reviewed,manual,nz1d,13,9,0,1.97799999999999998,263.00000000000000000,1.39999999999999991,0.00000000000000000
2178772,earthquake,1942-10-06T14:16:00.000Z,1989-01-30T00:00:00.000Z,-179.80000000000001137,-33.70000000000000284,7.09999999999999964,285.00000000000000000,M,operator assigned,graphical solution,reviewed,manual,,11,6,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2178264,earthquake,1939-02-10T15:35:00.000Z,1989-01-30T00:00:00.000Z,167.00000000000000000,-45.00000000000000000,7.00000000000000000,25.00000000000000000,M,operator assigned,isoseismal pattern determined from a large number of felt reports,reviewed,manual,,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
1584770,earthquake,1934-03-05T11:46:13.100Z,2006-10-12T10:14:00.000Z,176.28998999999998887,-40.54999999999999716,7.20000000000000018,12.00000000000000000,Mw,operator assigned,LOCAL,reviewed,manual,nz1d,7,5,0,0.56699999999999995,233.00000000000000000,0.80000000000000004,0.00000000000000000
2178232,earthquake,1931-02-13T01:27:00.000Z,2006-10-05T11:11:00.000Z,177.50000000000000000,-39.50000000000000000,7.29999999999999982,30.00000000000000000,Mw,operator assigned,isoseismal pattern determined from a large number of felt reports,reviewed,manual,,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2178228,earthquake,1931-02-02T22:47:00.000Z,2008-12-16T15:08:00.000Z,177.00000000000000000,-39.29999999999999716,7.40000000000000036,20.00000000000000000,Mw,operator assigned,solution from special study,reviewed,manual,,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2178128,earthquake,1929-06-16T22:47:43.000Z,2008-11-14T15:30:00.000Z,172.19999999999998863,-41.70000000000000284,7.29999999999999982,20.00000000000000000,Mw,operator assigned,solution from special study,reviewed,manual,,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2178125,earthquake,1929-03-09T10:50:00.000Z,2008-11-14T15:25:00.000Z,171.83000000000001251,-42.84000000000000341,7.00999999999999979,12.00000000000000000,Mw,operator assigned,isoseismal pattern determined from a large number of felt reports,reviewed,manual,,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2178095,earthquake,1914-11-22T08:14:00.000Z,2008-11-13T15:40:00.000Z,176.50000000000000000,-37.50000000000000000,7.29999999999999982,300.00000000000000000,Mw,operator assigned,isoseismal pattern determined from a large number of felt reports,reviewed,manual,,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2178086,earthquake,1904-08-08T22:50:00.000Z,2008-11-13T14:19:00.000Z,176.40000000000000568,-40.39999999999999858,7.00000000000000000,16.00000000000000000,Mw,operator assigned,isoseismal pattern determined from a large number of felt reports,reviewed,manual,,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2178073,earthquake,1888-08-31T16:45:00.000Z,2008-11-04T14:50:00.000Z,172.55000000000001137,-42.60000000000000142,7.00000000000000000,12.00000000000000000,Mw,operator assigned,isoseismal pattern determined from a large number of felt reports,reviewed,manual,,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2178062,earthquake,1868-10-18T12:35:00.000Z,2008-10-24T15:24:00.000Z,173.00000000000000000,-40.20000000000000284,7.20000000000000018,12.00000000000000000,Mw,operator assigned,isoseismal pattern determined from a large number of felt reports,reviewed,manual,,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2178061,earthquake,1863-02-22T13:00:00.000Z,1989-01-30T00:00:00.000Z,176.50000000000000000,-40.00000000000000000,7.50000000000000000,25.00000000000000000,M,operator assigned,isoseismal pattern determined from a large number of felt reports,reviewed,manual,,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2178057,earthquake,1855-01-23T09:32:00.000Z,2008-10-24T15:19:00.000Z,175.19999999999998863,-41.20000000000000284,8.19999999999999929,33.00000000000000000,Mw,operator assigned,isoseismal pattern determined from a large number of felt reports,reviewed,manual,,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2177819,earthquake,1848-10-15T14:10:00.000Z,2008-10-24T15:08:00.000Z,173.59999999999999432,-41.89999999999999858,7.40000000000000036,12.00000000000000000,Mw,operator assigned,isoseismal pattern determined from a large number of felt reports,reviewed,manual,,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2177691,earthquake,1843-07-08T05:30:00.000Z,2008-10-21T15:00:00.000Z,176.19999999999998863,-39.60000000000000142,7.59999999999999964,12.00000000000000000,Mw,operator assigned,isoseismal pattern determined from a large number of felt reports,reviewed,manual,,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2177651,earthquake,1826-01-01T00:00:00.000Z,1989-01-30T00:00:00.000Z,167.00000000000000000,-45.00000000000000000,7.50000000000000000,25.00000000000000000,M,operator assigned,felt solution determined from a small number of felt reports,reviewed,manual,,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
