publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p868805,,2016-11-17T10:59:37.861Z,2016-11-17T11:02:21.226Z,174.9804407,-41.49851436,2.21748939,32.65625,M,,NonLinLoc,,automatic,nz3drx,19,19,11,0.2161822394,214.4015462,0.5664870818,0
2016p868804,,2016-11-17T10:59:09.003Z,2016-11-17T11:02:05.955Z,173.8848195,-42.29550808,3.249753933,19.0625,M,,NonLinLoc,,automatic,nz3drx,19,19,12,0.5787948035,165.9281057,1.269119094,0
2016p868798,,2016-11-17T10:55:59.523Z,2016-11-17T10:58:20.299Z,173.8382305,-42.35422146,3.140152449,43.4375,M,,NonLinLoc,,automatic,nz3drx,27,27,14,0.6384255466,151.7624961,0.694197394,0
2016p868796,,2016-11-17T10:54:44.133Z,2016-11-17T11:06:36.529Z,174.3673371,-41.62642414,2.921411162,9.921875,M,,NonLinLoc,,automatic,nz3drx,37,37,23,0.1702203653,131.3886162,1.210093752,0
2016p868786,,2016-11-17T10:49:36.727Z,2016-11-17T10:53:00.063Z,174.0987784,-42.15991981,3.060160049,18.59375,M,,NonLinLoc,,automatic,nz3drx,33,33,17,0.4191786174,153.9103834,1.518292307,0
2016p868783,,2016-11-17T10:47:40.157Z,2016-11-17T10:50:34.038Z,174.1890069,-41.72545201,2.619673284,9.21875,M,,NonLinLoc,,automatic,nz3drx,19,19,12,0.03117483079,128.1017952,0.5524291339,0
2016p868781,,2016-11-17T10:47:08.379Z,2016-11-17T10:50:24.036Z,173.1792951,-42.56205908,3.075361223,26.5625,M,,NonLinLoc,,automatic,nz3drx,28,28,12,0.4190030085,129.7705471,0.8823474668,0
2016p868774,,2016-11-17T10:43:06.542Z,2016-11-17T10:45:43.268Z,173.6905786,-41.90772611,2.710039763,10.15625,M,,NonLinLoc,,automatic,nz3drx,19,19,8,0.236835705,136.5837905,1.278585127,0
2016p868771,,2016-11-17T10:41:39.285Z,2016-11-17T10:44:40.353Z,173.0815922,-42.58426516,3.219163701,12.96875,M,,NonLinLoc,,automatic,nz3drx,22,22,11,0.3846063125,136.5106996,1.079043808,0
2016p868769,,2016-11-17T10:40:10.090Z,2016-11-17T10:42:24.196Z,173.3241104,-42.51952399,2.905576388,37.8125,M,,NonLinLoc,,automatic,nz3drx,21,21,6,0.4959657533,136.5064642,1.153987058,0
2016p868765,,2016-11-17T10:38:30.582Z,2016-11-17T10:40:49.905Z,174.1368619,-41.94914941,2.470340343,30.3125,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.2073317208,171.6824023,0.8604936879,0
2016p868758,,2016-11-17T10:34:42.435Z,2016-11-17T10:36:54.443Z,174.1509116,-41.69096699,2.572203715,14.84375,M,,NonLinLoc,,automatic,nz3drx,22,22,11,0.07554182998,70.91535689,0.6044601333,0
2016p868754,,2016-11-17T10:32:25.910Z,2016-11-17T10:34:39.474Z,174.1458652,-41.88935227,3.257957271,19.0625,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.263574461,182.5366744,0.9982356345,0
2016p868752,,2016-11-17T10:31:39.532Z,2016-11-17T10:34:15.495Z,173.6609178,-42.17385244,3.314721172,28.90625,M,,NonLinLoc,,automatic,nz3drx,25,25,16,0.4857026223,138.3412821,0.7001361741,0
2016p868750,,2016-11-17T10:30:27.851Z,2016-11-17T10:32:19.190Z,177.0842764,-39.77092188,2.060007022,13.90625,M,,NonLinLoc,,automatic,nz3drx,15,15,10,0.1110014319,215.142777,0.3818290758,0
2016p868748,,2016-11-17T10:29:04.813Z,2016-11-17T10:30:53.447Z,174.2773785,-41.67132508,2.250058023,8.28125,M,,NonLinLoc,,automatic,nz3drx,13,13,7,0.09298090515,129.2079461,0.589904462,0
2016p868746,,2016-11-17T10:28:29.919Z,2016-11-17T10:30:37.801Z,174.1817232,-41.6501637,2.324635987,20.9375,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.1030470747,116.0574691,0.7911709197,0
2016p868742,,2016-11-17T10:26:02.717Z,2016-11-17T10:32:29.791Z,174.2649568,-41.67179434,2.745707348,9.921875,M,,NonLinLoc,,automatic,nz3drx,31,31,15,0.08807819646,124.14532,1.007943397,0
2016p868741,,2016-11-17T10:25:15.946Z,2016-11-17T10:27:27.595Z,173.4184057,-42.40209723,3.141999555,34.0625,M,,NonLinLoc,,automatic,nz3drx,11,11,3,0.6322175622,160.774564,0.9983414969,0
2016p868737,,2016-11-17T10:23:05.920Z,2016-11-17T10:25:18.298Z,174.4320652,-42.39149402,2.702296946,64.0625,M,,NonLinLoc,,automatic,nz3drx,22,22,7,0.6584355289,199.725802,1.756173685,0
2016p868733,,2016-11-17T10:21:18.763Z,2016-11-17T10:31:22.415Z,174.3762944,-41.69174626,2.59662785,9.921875,M,,NonLinLoc,,automatic,nz3drx,26,26,13,0.135490651,164.5993753,0.9476626179,0
2016p868729,,2016-11-17T10:19:11.726Z,2016-11-17T10:21:10.237Z,173.5434395,-42.47915641,2.707629319,28.4375,M,,NonLinLoc,,automatic,nz3drx,10,10,3,0.6156291161,177.6697479,0.8920415072,0
2016p868725,,2016-11-17T10:17:11.583Z,2016-11-17T10:19:00.598Z,174.3737256,-41.62494374,2.446190284,11.796875,M,,NonLinLoc,,automatic,nz3drx,18,18,7,0.1745979876,138.6155385,0.8041322008,0
2016p868717,,2016-11-17T10:12:41.903Z,2016-11-17T10:15:25.689Z,176.2086914,-39.14773348,3.190338319,6.40625,M,,NonLinLoc,,automatic,nz3drx,27,27,20,0.2197931686,238.6962546,1.143952208,0
2016p868715,earthquake,2016-11-17T10:11:52.777Z,2016-11-17T10:19:22.830Z,174.3731689,-41.72125244,4.421566769,5.679890633,M,,LOCSAT,confirmed,manual,iasp91,28,22,22,0.1224470064,179.5114899,1.293957287,0
2016p868713,earthquake,2016-11-17T10:10:41.764Z,2016-11-17T10:22:38.583Z,174.1895142,-41.7073288,2.981136631,8.10832119,M,,LOCSAT,confirmed,manual,iasp91,26,19,15,0.04545454681,75.86758423,1.347630233,0
2016p868705,,2016-11-17T10:06:19.705Z,2016-11-17T10:08:52.554Z,174.2090422,-41.75690361,3.054042241,7.109375,M,,NonLinLoc,,automatic,nz3drx,29,29,19,0.007266188671,126.915989,0.5884731328,0
2016p868704,,2016-11-17T10:05:41.642Z,2016-11-17T10:07:55.467Z,172.8342576,-42.6739218,3.200605067,19.53125,M,,NonLinLoc,,automatic,nz3drx,23,23,12,0.3283810573,114.3023352,0.6461481395,0
2016p868699,,2016-11-17T10:03:17.781Z,2016-11-17T10:30:38.277Z,174.2424145,-41.76121912,3.469356456,8.046875,M,,NonLinLoc,,automatic,nz3drx,69,69,41,0.02352440729,135.2113012,1.904190704,0
