See https://en.wikipedia.org/wiki/List_of_New_Zealand_urban_areas
Rank	Name	Region	Population	Longitude	Latitude
1	Auckland	Auckland	1,495,000	174.74	-36.84
2	Wellington	Wellington	405,000	174.78	-41.29
3	Christchurch	Canterbury	389,700	172.62	-43.53
4	Hamilton	Waikato	230,000	175.28	-37.79
5	Tauranga	Bay of Plenty	134,400	176.17	-37.68
6	Napier-Hastings	Hawke's Bay	131,000	176.85	-39.58
7	Dunedin	Otago	118,500	170.5	-45.87
8	Palmerston North	Manawatu-Wanganui	84,300	175.61	-40.36
9	Nelson	Nelson	65,700	173.28	-41.27
10	Rotorua	Bay of Plenty	57,800	176.25	-38.14
11	New Plymouth	Taranaki	56,800	174.08	-39.07
12	Whangarei	Northland	56,400	174.32	-35.73
13	Invercargill	Southland	50,700	168.35	-46.41
14	Kapiti	Wellington	41,800	175.19	-40.84
15	Whanganui	Manawatu-Wanganui	39,600	175.05	-39.93
16	Gisborne	Gisborne	36,100	178.02	-38.66
17	Blenheim	Marlborough	30,700	173.96	-41.51
18	Pukekohe	Auckland	29,800	174.9	-37.2
19	Timaru	Canterbury	28,800	171.25	-44.4
20	Taupo	Waikato	24,100	176.07	-38.69
21	Masterton	Wellington	21,200	175.66	-40.95
22	Levin	Manawatu-Wanganui	20,600	175.29	-40.62
23	Ashburton	Canterbury	19,850	171.75	-43.91
24	Whakatane	Bay of Plenty	19,600	177.0	-37.98
25	Rangiora	Canterbury	17,350	172.59	-43.3
26	Feilding	Manawatu-Wanganui	16,250	175.57	-40.22
27	Queenstown	Otago	14,300	168.66	-45.03
28	Oamaru	Otago	13,850	170.98	-45.08
29	Tokoroa	Waikato	13,700	175.87	-38.23
30	Rolleston	Canterbury	13,100	172.38	-43.58
31	Hawera	Taranaki	11,800	174.28	-39.58
