publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
3366718,earthquake,2010-09-04T15:59:22.188Z,2013-07-16T14:07:00.000Z,172.56395000000000550,-43.54010999999999854,3.01299999999999990,15.08990000000000009,ML,,GROPE,reviewed,manual,nz1dr,8,4,13,0.05600000000000000,146.00000000000000000,0.05177000000000000,0.28899999999999998
3366712,earthquake,2010-09-04T15:45:51.512Z,2013-07-16T14:07:00.000Z,172.40387000000001194,-43.58742000000000161,2.76799999999999979,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,5,5,0.16000000000000000,138.00000000000000000,0.14887000000000000,0.18200000000000000
3366711,earthquake,2010-09-04T15:44:23.192Z,2013-07-16T14:07:00.000Z,172.25278000000000134,-43.57263999999999982,2.70199999999999996,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,8,4,4,0.26900000000000002,212.00000000000000000,0.16649000000000000,0.07600000000000000
3366704,earthquake,2010-09-04T15:25:16.573Z,2013-07-16T14:07:00.000Z,174.95515000000000327,-40.20953999999999695,2.68000000000000016,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,40,36,11,0.45300000000000001,91.00000000000000000,0.29564000000000001,0.14299999999999999
3366691,earthquake,2010-09-04T14:58:47.956Z,2013-07-16T14:07:00.000Z,172.39960999999999558,-43.60904000000000025,2.60700000000000021,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,5,7,0.16600000000000001,175.00000000000000000,0.23405999999999999,0.22600000000000001
3366689,earthquake,2010-09-04T14:52:57.204Z,2013-07-16T14:07:00.000Z,172.39767000000000507,-43.56116000000000099,2.75199999999999978,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,5,5,0.16400000000000001,133.00000000000000000,0.17798000000000000,0.15500000000000000
3366687,earthquake,2010-09-04T14:45:51.523Z,2013-07-17T14:39:00.000Z,172.33104000000000156,-43.67258000000000351,2.89000000000000012,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,6,14,0.23300000000000001,168.00000000000000000,0.12180000000000001,0.34699999999999998
3366686,earthquake,2010-09-04T14:42:10.260Z,2013-07-16T14:07:00.000Z,172.44632999999998901,-43.66214000000000084,3.91000000000000014,6.82650000000000023,ML,,GROPE,reviewed,manual,nz1dr,17,11,30,0.04100000000000000,159.00000000000000000,0.15917999999999999,0.23799999999999999
3366684,earthquake,2010-09-04T14:39:55.423Z,2013-07-16T14:07:00.000Z,172.17909000000000219,-43.62339000000000055,2.85400000000000009,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,6,12,0.31300000000000000,159.00000000000000000,0.14605000000000001,0.26500000000000001
3366683,earthquake,2010-09-04T14:35:51.829Z,2013-07-16T14:07:00.000Z,172.16299000000000774,-43.49746999999999986,3.46600000000000019,7.44589999999999996,ML,,GROPE,reviewed,manual,nz1dr,12,6,13,0.04500000000000000,133.00000000000000000,0.18709000000000001,0.21900000000000000
