Council,Type,Year,Turnout
Auckland,Metro,2010,51.0
Auckland,Metro,2013,34.9
Auckland,Metro,2016,38.5
Auckland,Metro,2019,30.4
Christchurch City,Metro,2010,52.2
Christchurch City,Metro,2013,42.9
Christchurch City,Metro,2016,38.3
Christchurch City,Metro,2019,38.8
Dunedin City,Metro,2010,53.0
Dunedin City,Metro,2013,43.1
Dunedin City,Metro,2016,45.2
Dunedin City,Metro,2019,42.3
Hamilton City,Metro,2010,37.8
Hamilton City,Metro,2013,38.3
Hamilton City,Metro,2016,33.6
Hamilton City,Metro,2019,32.3
Hutt City Council,Metro,2010,40.4
Hutt City Council,Metro,2013,36.6
Hutt City Council,Metro,2016,37.8
Hutt City Council,Metro,2019,38.7
Nelson City,Metro,2010,52.2
Nelson City,Metro,2013,52.2
Nelson City,Metro,2016,52.1
Nelson City,Metro,2019,48.0
Palmerston North City,Metro,2010,43.2
Palmerston North City,Metro,2013,38.7
Palmerston North City,Metro,2016,39.1
Palmerston North City,Metro,2019,34.9
Porirua City,Metro,2010,39.1
Porirua City,Metro,2013,36.6
Porirua City,Metro,2016,38.0
Porirua City,Metro,2019,37.9999999999999999999999999999999
Tauranga City,Metro,2010,43.8
Tauranga City,Metro,2013,37.8
Tauranga City,Metro,2016,38.0
Tauranga City,Metro,2019,37.6
Upper Hutt City,Metro,2010,44.3
Upper Hutt City,Metro,2013,40.8
Upper Hutt City,Metro,2016,41.0
Upper Hutt City,Metro,2019,40.1
Wellington City,Metro,2010,40.0
Wellington City,Metro,2013,41.5
Wellington City,Metro,2016,45.6
Wellington City,Metro,2019,38.5
Ashburton District,Provincial,2010,58.7
Ashburton District,Provincial,2013,53.3
Ashburton District,Provincial,2016,53.2
Ashburton District,Provincial,2019,52.6
Far North District,Provincial,2010,46.9
Far North District,Provincial,2013,48.9
Far North District,Provincial,2016,41.7
Far North District,Provincial,2019,39.9
Gisborne District,Provincial,2010,54.8
Gisborne District,Provincial,2013,48.3
Gisborne District,Provincial,2016,48.5
Gisborne District,Provincial,2019,37.8
Hastings District,Provincial,2010,44.3
Hastings District,Provincial,2013,47.8
Hastings District,Provincial,2016,46.8
Hastings District,Provincial,2019,41.0
Horowhenua District,Provincial,2010,52.0
Horowhenua District,Provincial,2013,52.9
Horowhenua District,Provincial,2016,51.0
Horowhenua District,Provincial,2019,51.8
Invercargill City,Provincial,2010,60.1
Invercargill City,Provincial,2013,46.6
Invercargill City,Provincial,2016,54.9
Invercargill City,Provincial,2019,50.2
Kapiti Coast District,Provincial,2010,49.3
Kapiti Coast District,Provincial,2013,51.1
Kapiti Coast District,Provincial,2016,47.9
Kapiti Coast District,Provincial,2019,37.5
Manawatu District,Provincial,2010,46.5
Manawatu District,Provincial,2013,39.7
Manawatu District,Provincial,2016,47.3
Manawatu District,Provincial,2019,41.5
Marlborough District,Provincial,2010,56.5
Marlborough District,Provincial,2013,54.7
Marlborough District,Provincial,2016,53.7
Marlborough District,Provincial,2019,46.2
Masterton District,Provincial,2010,54.4
Masterton District,Provincial,2013,46.8
Masterton District,Provincial,2016,44.6
Masterton District,Provincial,2019,45.8
Matamata-Piako District,Provincial,2010,42.1
Matamata-Piako District,Provincial,2013,44.8
Matamata-Piako District,Provincial,2016,24.1
Matamata-Piako District,Provincial,2019,43.0
Napier City,Provincial,2010,44.9
Napier City,Provincial,2013,47.8
Napier City,Provincial,2016,43.9
Napier City,Provincial,2019,47.2
