Country,1987,1991,1995,1999,2003,2007,2011,2015,2019
New Zealand,Winner,SF,Final,SF,SF,QF,Winner,Winner,SF
Australia,SF,Winner,QF,Winner,Final,QF,SF,Final,QF
South Africa,DNP,DNP,Winner,SF,QF,Winner,QF,SF,Final
England,QF,Final,SF,QF,Winner,Final,QF,Pool,Final
France,Final,QF,SF,Final,SF,SF,Final,QF,QF
Scotland,QF,SF,QF,QF,QF,QF,Pool,QF,Pool
Ireland,QF,QF,QF,QF Play-Off,QF,Pool,QF,QF,QF
Wales,SF,Pool,Pool,QF,QF,Pool,SF,QF,SF
Samoa,DNP,QF,QF,QF Play-Off,Pool,Pool,Pool,Pool,Pool
Fiji,QF,Pool,DNQ,QF Play-Off,Pool,QF,Pool,Pool,Pool
Canada,Pool,QF,Pool,Pool,Pool,Pool,Pool,Pool,Pool
Zimbabwe,Pool,Pool,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ
Argentina,Pool,Pool,Pool,QF,Pool,SF,QF,SF,Pool
United States,Pool,Pool,DNQ,Pool,Pool,Pool,Pool,Pool,Pool
Japan,Pool,Pool,Pool,Pool,Pool,Pool,Pool,Pool,QF
Italy,Pool,Pool,Pool,Pool,Pool,Pool,Pool,Pool,Pool
Romania,Pool,Pool,Pool,Pool,Pool,Pool,Pool,Pool,DNQ
Tonga,Pool,DNQ,Pool,Pool,Pool,Pool,Pool,Pool,Pool
Ivory Coast,DNP,DNQ,Pool,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ
Namibia,DNP,DNP,DNQ,Pool,Pool,Pool,Pool,Pool,Pool
Uruguay,DNP,DNP,DNQ,Pool,Pool,DNQ,DNQ,Pool,Pool
Spain,DNP,DNQ,DNQ,Pool,DNQ,DNQ,DNQ,DNQ,DNQ
Georgia,DNP,DNP,DNQ,DNQ,Pool,Pool,Pool,Pool,Pool
Portugal,DNP,DNQ,DNQ,DNQ,DNQ,Pool,DNQ,DNQ,DNQ
Russia,DNP,DNP,DNQ,DNQ,DNP,DNQ,Pool,DNQ,Pool
